"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
2507,"strawberries","Fruit"
2512,"beef, unspecified",
2512,"chicken, unspecified",
2513,"chicken, buffalo wings",
2515,"canapes, unspecified",
2516,"hot dog, unspecified",
2521,"chicken pasta salad",
2524,"taco, unspecified",
2525,"onion, unspecified",
2532,"sandwich, unspecified",
2535,"salad, unspecified",
2538,"taco, unspecified",
2539,"refried beans, unspecified","Legume"
2545,"sausage, pork","Pork"
2548,"lettuce-based salads unspecified",
2566,"rolls",
2567,"sandwich, submarine",
2568,"pizza, cheese",
2569,"ground beef, meatballs",
2569,"ravioli, unspecified",
2569,"water",
2573,"coleslaw",
2577,"chicken, roasted",
2577,"salad, unspecified",
2581,"pate, unspecified",
2584,"burrito, beef",
2589,"burrito, beef",
2589,"taco, beef",
2589,"taco, chicken",
2599,"roast beef, unspecified","Beef"
2604,"coleslaw",
2604,"romaine lettuce, unspecified",
2606,"crab, unspecified",
2606,"ham, unspecified",
2606,"ranch dressing",
2607,"melon, unspecified","Melon"
2609,"turkey and stuffing",
2612,"ranch dressing",
2614,"gelatin, unspecified",
2620,"pork, roasted",
2623,"carrots, unspecified",
2623,"green beans, unspecified",
2623,"potato, unspecified",
2624,"salmon, unspecified",
2624,"seafood dish, unspecified",
2636,"other milk, unpasteurized","Milk"
2637,"pizza, meat",
2639,"pork, BBQ",
2643,"multiple foods",
2646,"pasta-based salads unspecified",
2653,"pork, other","Pork"
2657,"fried rice, unspecified",
2666,"fish, ahi","Fin fish"
2673,"sushi, unspecified",
2680,"soup, clam chowder",
2681,"tuna, unspecified","Fin fish"
2685,"sushi, unspecified",
2692,"pork, chitterlings",
2694,"multiple foods",
2699,"pork, BBQ",
2700,"taco, unspecified",
2701,"pork, BBQ",
2702,"sandwich, other vegetable and meat",
2703,"bread, cornbread",
2703,"chicken, unspecified",
2703,"ham, unspecified",
2707,"chicken, fried",
2707,"mashed potato/gravy",
2709,"ice, unspecified","Water"
2710,"shell eggs, scrambled hard","Eggs"
2711,"blackberries",
2711,"raspberries",
2712,"chicken salad",
2714,"fruit smoothie",
2717,"eggs, unspecified",
2717,"ham, unspecified",
2717,"pork, chops",
2718,"burrito, unspecified",
2723,"sandwich, roast beef",
2726,"frosting/icing, buttercream",
2727,"pork, unspecified",
2728,"mashed potato/gravy",
2728,"pie, pecan",
2737,"green salad",
2738,"chicken, fried",
2745,"chicken salad",
2754,"sandwich, submarine",
2757,"sandwich, submarine",
2773,"ground beef, unspecified","Beef"
2777,"bread, garlic bread",
2777,"cake, unspecified",
2779,"chicken and rice",
2780,"soup, clam chowder",
2785,"oriental chicken salad",
2793,"sandwich, turkey",
2799,"chicken, unspecified",
2805,"chicken salad",
2805,"multiple cheeses, unspecified",
2805,"punch, unspecified",
2809,"biscuit, unspecified",
2809,"potato, unspecified",
2810,"snapper, unspecified","Fin fish"
2811,"sauces, unspecified",
2811,"soup, wonton",
2812,"ribs, unspecified","Beef"
2822,"lemonade, unspecified",
2825,"cake, unspecified",
2825,"ice cream, commercial",
2831,"chicken, unspecified",
2831,"ground beef, hamburger",
2832,"whole milk, pasteurized","Milk"
2835,"chicken salad",
2835,"ice",
2835,"tuna salad",
2843,"multiple foods",
2846,"beans, unspecified",
2846,"coleslaw",
2846,"water",
2850,"fish, jack","Fin fish"
2851,"meat, unspecified",
2856,"sausage, other",
2863,"chicken, BBQ",
2864,"mozarella, unspecified",
2865,"pizza, unspecified",
2865,"soda, unspecified",
2867,"Picadillo",
2869,"chicken, unspecified",
2871,"salad, unspecified",
2877,"pizza, cheese",
2884,"pizza, meat",
2885,"chicken, BBQ",
2886,"strawberries",
2891,"stir-fry, unspecified",
2893,"pineapple, unspecified","Fruit"
2897,"clams, unspecified","Shellfish"
2899,"chicken tempura",
2899,"rice, unspecified",
2899,"Vegetable tempura",
2899,"yakitori, chicken",
2905,"pizza, unspecified",
2905,"soda, unspecified",
2916,"ground beef, hamburger",
2916,"orange, unspecified",
2916,"unspecified vegetables",
2919,"chicken, baked",
2919,"green salad",
2920,"multiple foods",
2923,"salsa, unspecified",
2927,"pizza, unspecified",
2933,"ham, unspecified",
2942,"burrito, beef",
2942,"chili sauce, unspecified",
2948,"rice, unspecified","Rice"
2951,"ice","Water"
2955,"french fries",
2960,"unknown food",
2963,"soup, pork-based","Pork"
2964,"seafood salad",
2965,"cake, unspecified",
2965,"ham, unspecified",
2965,"ice",
2974,"unknown food",
2976,"soup, bean",
2982,"ground beef, hamburger",
2982,"hot dog, unspecified",
2986,"oysters, raw",
2987,"lettuce-based salads unspecified",
2987,"seafood, unspecified",
2990,"deviled eggs","Eggs"
2991,"sandwich, chicken salad",
2991,"sandwich, tuna salad",
2992,"salad, unspecified",
2993,"unknown food",
2996,"pork, roasted",
2997,"sandwich, roast beef",
2997,"sandwich, turkey",
2998,"lettuce-based salads unspecified",
3000,"turkey, roasted","Turkey"
3001,"jello salad",
3002,"peppers, chili",
3002,"refried beans, unspecified",
3003,"salad, unspecified",
3005,"sausage, Italian",
3007,"stew/chili, unspecified",
3009,"ground beef, unspecified",
3010,"chili sauce, unspecified",
3010,"green chili salsa",
3011,"burrito, unspecified","Vine-stalk  eg. tomato"
3012,"sandwich, roast beef",
3012,"sandwich, turkey",
3013,"ground beef, hamburger",
3013,"spaghetti, unspecified",
3013,"taco or nacho salad",
3014,"green salad",
3017,"sandwich, submarine",
3021,"other food *****",
3023,"beef/steak dish, unspecified",
3023,"potato, baked",
3025,"burrito, beef",
3029,"chicken, marsala",
3030,"tamale, unspecified",
3031,"sandwich, unspecified",
3035,"ham, unspecified",
3035,"turkey and gravy",
3036,"ribs, unspecified",
3040,"roast beef, unspecified",
3043,"sandwich, turkey",
3044,"beans, unspecified",
3044,"rice, unspecified",
3045,"deli meat, sliced salami",
3045,"focaccia",
3046,"refried beans, unspecified","Legume"
3048,"pizza, unspecified",
3049,"burrito, cheese",
3055,"tuna, unspecified","Fin fish"
3056,"crab dishes",
3058,"onion, unspecified",
3059,"beef, goulash",
3060,"lasagna, beef",
3062,"salsa, unspecified",
3063,"tuna salad",
3064,"hot dog, unspecified",
3065,"deli meat, unspecified",
3066,"pizza, unspecified",
3067,"grapes, red","Fruit"
3068,"unknown food",
3073,"chop suey",
3073,"pancit",
3078,"beans, unspecified",
3078,"beef, BBQ",
3078,"rice, unspecified",
3079,"potato salad",
3081,"chicken salad",
3083,"goat, unspecified",
3083,"parsley, unspecified",
3084,"stew/chili, other",
3087,"chicken, fried",
3087,"potato salad",
3088,"mixed fruit",
3088,"potato, unspecified",
3095,"steak, prime rib",
3097,"burrito, chicken",
3098,"tuna, raw",
3099,"sandwich, submarine",
3100,"salsa, unspecified",
3106,"fruit salad",
3108,"ribs, unspecified",
3114,"potato, mashed",
3114,"steak, prime rib",
3116,"cake, unspecified",
3116,"unspecified beverage",
3117,"rice, unspecified","Rice"
3118,"carne asada","Beef"
3118,"pork, other","Pork"
3121,"beans, unspecified",
3123,"bread, banana",
3123,"muffin, unspecified",
3123,"strawberries",
3125,"unknown food",
3128,"cheese, unspecified",
3128,"ground beef, unspecified",
3128,"lettuce, unspecified",
3128,"tortilla, unspecified",
3130,"chicken, other",
3134,"chicken, unspecified",
3135,"salad dressing, unspecified",
3139,"shell eggs, boiled hard",
3139,"turkey loaf",
3140,"green salad","Leafy (eg. lettuce)"
3142,"tea, unspecified",
3145,"green salad",
3149,"fish, escolar","Fin fish"
3151,"chicken, other",
3153,"caesar salad",
3153,"stuffed shells, unspecified",
3155,"chicken",
3155,"coleslaw",
3158,"pizza, meat and vegetable",
3159,"salad, unspecified",
3162,"ranch dressing","Sauces/ Dressings"
3164,"pico de gallo",
3165,"chicken, unspecified",
3175,"ground beef, hamburger","Beef"
3182,"pork, BBQ","Pork"
3186,"macaroni and cheese",
3187,"beans, baked",
3187,"chicken, BBQ",
3187,"chocolate pie",
3187,"pork, BBQ",
3195,"pork, BBQ",
3226,"crab, unspecified","Shellfish"
3227,"mixed fruit *****",
3227,"turkey, unspecified",
3232,"pizza, unspecified",
3236,"sandwich, submarine",
3240,"eggs, other",
3240,"oysters, unspecified",
3246,"soup, chicken",
3249,"eggs, unspecified",
3249,"potato stuffings",
3252,"macaroni and cheese",
3252,"turkey, unspecified",
3253,"chicken, curry",
3253,"lamb, other",
3256,"shrimp, unspecified",
3257,"picadilla",
3264,"chicken, unspecified",
3268,"ham, unspecified",
3268,"roast beef, unspecified",
3268,"turkey, unspecified",
3269,"bread, unspecified",
3269,"butter",
3269,"cheese and crackers",
3272,"pizza, meat",
3273,"cake, cheese",
3286,"salad, unspecified",
3295,"other cheese, unspecified",
3300,"cake, unspecified",
3300,"corn, unspecified",
3300,"potato, baked",
3305,"stuffing, unspecified",
3307,"turkey, unspecified",
3309,"noodle casserole",
3310,"cake, chocolate",
3314,"beans, unspecified",
3314,"pork, unspecified",
3314,"rice, unspecified",
3316,"smoked fish",
3317,"pork fried rice",
3318,"crab salad",
3318,"unspecified grains",
3319,"ground beef, meatballs","Beef"
3321,"salad, unspecified",
3322,"macaroni and cheese",
3333,"green onion/scallion",
3334,"bread, unspecified",
3343,"pizza, unspecified",
3344,"potato salad",
3346,"ground beef, meatballs",
3347,"potato salad",
3352,"ribs, pork",
3355,"lettuce, unspecified",
3355,"tomato, unspecified",
3358,"antipasto",
3358,"caesar salad",
3366,"ham, unspecified",
3367,"chile relleno, unspecified",
3368,"beans, unspecified",
3368,"pork, unspecified",
3368,"rice, unspecified",
3371,"spaghetti, unspecified",
3376,"ice cream, soft serve",
3377,"cake, unspecified",
3379,"potato salad",
3379,"turkey, unspecified",
3380,"chicken, tandori",
3383,"mussels, unspecified",
3388,"soda, unspecified",
3392,"mixed vegetables, unspecified",
3392,"sandwich, unspecified",
3392,"vegetable dip, unspecified",
3395,"pasta-based salads unspecified",
3399,"RAW MILK",
3403,"turkey salad",
3406,"fish, escolar",
3408,"other milk, unspecified",
3408,"spaghetti, unspecified",
3410,"marinara sauce",
3412,"pizza, unspecified",
3413,"fish eggs, unspecified",
3416,"seafood salad",
3419,"pork, roasted",
3420,"stuffing/gravy",
3421,"sandwich, beef",
3423,"pork, kalua pig",
3431,"chicken, unspecified",
3431,"potatoes, cheddar",
3432,"cake, unspecified",
3432,"rice pilaf",
3433,"bear, unspecified",
3438,"chicken, unspecified",
3438,"macaroni salad",
3438,"salsa, unspecified",
3439,"cookies, unspecified",
3440,"multiple cheeses, unspecified","Cheese"
3441,"pasta, unspecified",
3449,"fried rice, unspecified",
3450,"guacamole",
3451,"salsa, unspecified",
3453,"apple cider, unspecified",
3455,"octopus, unspecified",
3456,"ice",
3456,"unspecified beverage",
3460,"salad, unspecified",
3465,"unspecified fruit",
3467,"cake, unspecified",
3468,"pork, roasted",
3469,"beef, unspecified",
3471,"lettuce, unspecified",
3472,"nuts, unspecified",
3473,"Crab, cooked",
3474,"cake, unspecified",
3476,"fish, scrod",
3480,"potato salad",
3482,"burrito, chicken",
3495,"chicken, unspecified",
3496,"chicken, unspecified",
3501,"mints, unspecified",
3503,"gravy, unspecified",
3503,"pineapple, unspecified",
3503,"potato, unspecified",
3504,"ice",
3507,"steak, sirloin",
3507,"stew/chili, other",
3509,"creme brulee",
3510,"chicken, kiev",
3511,"alfalfa sprouts",
3515,"fried rice, unspecified",
3529,"corned beef, mash",
3530,"shell egg, other","Eggs"
3533,"roast beef, unspecified",
3535,"tamale, hot",
3543,"pork, unspecified",
3546,"potato salad",
3548,"parsley, unspecified",
3549,"parsley, unspecified",
3551,"beans, baked",
3557,"melon, unspecified",
3557,"sausage, unspecified",
3558,"taco or nacho salad",
3559,"canoli, unspecified",
3559,"cream puff",
3561,"pizza, unspecified",
3563,"ice cream, homemade",
3564,"bread, unspecified",
3564,"potato salad",
3566,"cake, unspecified",
3566,"tabouleh salad",
3568,"guacamole",
3569,"cake, unspecified",
3570,"clams, unspecified",
3570,"oysters, raw",
3571,"parsley, unspecified",
3577,"fish, amberjack",
3582,"sandwich, submarine",
3584,"beef, unspecified",
3584,"chicken, unspecified",
3589,"cake, tiramisu",
3590,"fish, amberjack",
3591,"tuna salad",
3594,"cheese sauce",
3594,"potato, baked",
3598,"bun",
3598,"mayonnaise, homemade",
3604,"ground beef, meatballs",
3608,"ice cream, unspecified",
3610,"multiple cheeses, unspecified",
3610,"other cheese, pasteurized",
3612,"carnitas, unspecified",
3617,"rice",
3619,"rice, unspecified",
3621,"ground beef, hamburger",
3624,"salsa, unspecified",
3625,"macaroni salad",
3625,"potato, unspecified",
3625,"sandwich, unspecified",
3627,"sandwich, submarine",
3635,"roast beef, unspecified",
3635,"turkey, unspecified",
3636,"honeydew melon",
3636,"watermelon",
3639,"roast beef, unspecified",
3639,"turkey, unspecified",
3642,"unknown food",
3646,"meat, unspecified",
3649,"eggs, unspecified",
3651,"ground beef, sausage",
3651,"rice, unspecified",
3657,"shrimp, unspecified",
3659,"whipped cream, unspecified",
3662,"frosting/icing, whipped cream",
3665,"eggs, other",
3665,"ice cream, unspecified",
3666,"sandwich, chicken",
3668,"unspecified vegetables",
3674,"beef, unspecified",
3674,"tripe",
3677,"taco, beef",
3682,"chicken, other",
3685,"sandwich, ham",
3687,"fruit salad",
3688,"pork, BBQ",
3699,"cake, brownie",
3699,"cookies, unspecified",
3699,"unspecified fruit",
3700,"alfalfa sprouts",
3701,"pizza, meat",
3703,"pasta salad",
3706,"sandwich, ham",
3708,"meat, unspecified",
3711,"potato salad",
3712,"pork, unspecified",
3721,"pasta salad",
3723,"sandwich, submarine",
3730,"sandwich, ham",
3730,"sandwich, turkey",
3731,"pizza, meat",
3732,"cheddar cheese, unpasteurized",
3732,"cheddar cheese, unspecified",
3734,"rice, unspecified",
3740,"ham, unspecified",
3740,"pasta, unspecified",
3740,"turkey, unspecified",
3747,"crab, unspecified",
3748,"macaroni salad",
3748,"potato salad",
3750,"sandwich, unspecified",
3751,"potato salad",
3753,"lettuce, unspecified",
3756,"cucumber, unspecified",
3759,"chicken, buffalo wings",
3759,"sandwich, hoagie",
3761,"gravy, unspecified",
3761,"turkey, unspecified",
3762,"oysters, raw",
3763,"alfalfa sprouts",
3769,"mushrooms, unspecified",
3774,"tomato sauce, unspecified",
3783,"pizza, unspecified",
3784,"melon, unspecified",
3784,"pineapple, unspecified",
3784,"watermelon",
3786,"chicken, unspecified",
3789,"taco or nacho salad",
3790,"steak, unspecified",
3794,"doughnuts, unspecified",
3795,"chicken, fried",
3796,"ice cream bars",
3797,"sandwich, ham",
3799,"fish, scrod",
3805,"fish, baracuda",
3812,"dessert unspecified",
3813,"pork, kalua pig",
3814,"fried rice, unspecified",
3815,"sandwich, deli",
3816,"unspecified fruit",
3817,"fruit salad",
3823,"mushrooms, unspecified",
3823,"onion, unspecified",
3826,"salad, unspecified",
3827,"lobster, unspecified",
3827,"shrimp, unspecified",
3828,"ranch dressing",
3829,"clover sprouts",
3831,"multiple foods",
3832,"chicken, unspecified",
3832,"coleslaw",
3835,"chicken, unspecified",
3835,"gravy, chicken",
3836,"lettuce-based salads unspecified",
3836,"potato, baked",
3841,"mango, unspecified",
3845,"coleslaw",
3846,"steak, beef tips",
3849,"unknown food",
3851,"fruit salad",
3856,"rice, unspecified",
3857,"sandwich, unspecified",
3859,"beef, unspecified",
3862,"lettuce-based salads unspecified",
3866,"multiple foods",
3872,"tuna, unspecified",
3874,"pork, unspecified",
3876,"sandwich, submarine",
3881,"salad bar",
3884,"chicken and rice",
3885,"bread, unspecified",
3885,"butter",
3886,"chicken, unspecified",
3888,"salad, unspecified",
3890,"beef, unspecified",
3890,"chicken, unspecified",
3890,"unspecified vegetables",
3898,"ice",
3898,"unspecified fruit",
3902,"cake, cheese",
3902,"pasta, unspecified",
3903,"deli meat, unspecified",
3904,"pie, unspecified",
3908,"roast beef, unspecified",
3913,"cake, unspecified",
3913,"chicken, unspecified",
3914,"salad, unspecified",
3918,"salad, unspecified",
3927,"beans, unspecified",
3927,"chicken, unspecified",
3927,"rice",
3928,"ground beef, meatballs",
3928,"ham, unspecified",
3928,"turkey, unspecified",
3933,"butter",
3933,"salad, unspecified",
3933,"water",
3934,"unspecified vegetables",
3936,"pizza, meat",
3937,"pate, unspecified",
3938,"ground beef, unspecified",
3954,"egg rolls",
3954,"Fried Rice",
3954,"soup, egg drop",
3955,"multiple foods",
3956,"cake, unspecified",
3956,"pizza, unspecified",
3963,"eggs, other",
3963,"pie, unspecified",
3964,"bread, cornbread",
3964,"chicken, unspecified",
3964,"ham, unspecified",
3967,"sandwich, turkey",
3967,"unspecified fruit",
3975,"pasta salad",
3993,"eggs, other",
3993,"ice cream, unspecified",
4005,"cake, unspecified",
4005,"chicken salad",
4010,"beans, unspecified",
4010,"chicken, unspecified",
4010,"rice, unspecified",
4013,"sandwich, submarine",
4014,"sandwich, unspecified",
4016,"potato salad",
4016,"vegetable dip, unspecified",
4019,"mixed fruit *****",
4019,"roast beef, unspecified",
4020,"chicken, unspecified",
4020,"rice, unspecified",
4022,"cilantro, unspecified",
4033,"tart, fruit",
4034,"fish, ahi",
4041,"turkey and stuffing",
4043,"butter",
4043,"seafood soup/stew, unspecified",
4043,"soda, unspecified",
4044,"caesar salad",
4045,"macaroni salad",
4048,"potato, unspecified",
4051,"butter",
4051,"seafood, unspecified",
4051,"soda, unspecified",
4053,"butter",
4053,"soda, pepsi",
4053,"soup, other seafood chowder",
4055,"pita",
4058,"nuts, unspecified",
4064,"chicken, unspecified",
4068,"enchilada, chicken",
4071,"chicken, unspecified",
4078,"crepe, unspecified",
4084,"pizza, unspecified",
4089,"ground beef, unspecified",
4092,"roast beef, unspecified",
4098,"pasta-based salads unspecified",
4107,"custard",
4110,"cake, unspecified",
4110,"ice cream, unspecified",
4111,"cake, tiramisu",
4111,"eggs, other",
4116,"dips, unspecified",
4125,"potato, unspecified",
4128,"pizza, unspecified",
4132,"blue cheese dressing",
4133,"beef, unspecified",
4136,"chicken, unspecified",
4140,"eggs, other",
4140,"lasagna, unspecified",
4152,"lettuce, unspecified",
4152,"potato chips",
4152,"salsa, unspecified",
4154,"chicken, unspecified",
4166,"hard candy, unspecified",
4183,"multiple salads",
4185,"pork, BBQ",
4186,"turkey, other",
4190,"beef, other",
4192,"chicken and stuffing",
4192,"green beans, unspecified",
4192,"potato, mashed",
4200,"ethnic style, unspecified",
4203,"carrots, unspecified",
4203,"vegetable dip, unspecified",
4205,"ground beef, meatballs",
4205,"quesadilla, chicken",
4211,"potato salad",
4214,"chicken, baked",
4215,"chicken, BBQ",
4221,"potato, mashed",
4221,"steak, sirloin",
4223,"ribs, beef",
4225,"iceberg lettuce, unspecified",
4227,"lettuce-based salads unspecified",
4233,"cantaloupe",
4233,"pineapple, unspecified",
4235,"sandwich, fajita",
4235,"vegetable tray",
4236,"beef, stew",
4237,"eggs, unspecified","Eggs"
4238,"meat, unspecified",
4241,"ground beef, hamburger",
4245,"chicken, other",
4246,"steak, other",
4246,"water",
4247,"pizza, meat and vegetable",
4249,"fried rice, unspecified",
4249,"stir-fry, unspecified",
4250,"potato salad",
4256,"ground beef, hamburger",
4258,"fried rice, unspecified",
4259,"buffet",
4260,"fruit salad",
4261,"fish, escolar","Fin fish"
4263,"beef, other",
4264,"fish, escolar","Fin fish"
4265,"lettuce-based salads unspecified",
4268,"fish, escolar","Fin fish"
4270,"green beans",
4271,"ethnic style, buffet",
4272,"house salad",
4276,"sandwich, unspecified",
4280,"pork, other",
4282,"lemonade, unspecified",
4286,"vegetable tray",
4289,"fruit salad",
4290,"sushi, unspecified",
4295,"pork, roasted","Pork"
4296,"coleslaw",
4297,"multiple foods",
4318,"pasta salad",
4321,"multiple foods",
4325,"ground beef, meatballs",
4326,"bearnaise sauce",
4330,"beef, unspecified",
4336,"chicken, fried",
4336,"potato, mashed",
4337,"lo mein, chicken",
4338,"ice",
4338,"salad dressing, unspecified",
4338,"steak, other",
4341,"bear, unspecified",
4343,"pasta-based salads unspecified",
4344,"seafood soup/stew, unspecified",
4345,"shortcake, strawberry",
4349,"chicken, other",
4349,"green beans, unspecified",
4350,"chicken, BBQ",
4350,"chicken, fried",
4355,"pizza, vegetable",
4364,"fish, escolar","Fin fish"
4367,"fish, grouper, unspecified","Fin fish"
4379,"sushi, unspecified",
4381,"roast beef, other",
4388,"pizza, meat and vegetable",
4410,"multiple foods",
4411,"vegetable-based salads unspecified",
4412,"burrito, unspecified",
4417,"ice cream, homemade",
4418,"goat cheese/chevre, unspecified",
4418,"pastry, unspecified",
4418,"tomato, unspecified",
4419,"mesclun mix, unspecified",
4423,"multiple foods",
4424,"deli meat, multiple",
4430,"chicken, other","Chicken"
4432,"sandwich, submarine",
4433,"french fries",
4438,"turkey, smoked","Turkey"
4440,"sandwich, chicken",
4447,"cake, unspecified",
4457,"ham, unspecified",
4457,"turkey, unspecified",
4458,"bread, unspecified",
4458,"lettuce-based salads unspecified",
4459,"lettuce-based salads unspecified",
4460,"multiple foods",
4475,"condiment, unspecified",
4475,"vegetable dip, unspecified",
4476,"multiple foods",
4478,"ham, unspecified",
4478,"turkey, unspecified",
4479,"cheese dish, other",
4479,"rice dishes, unspecified",
4481,"pear, unspecified",
4482,"green salad",
4483,"green salad",
4484,"BBQ, unspecified",
4488,"green salad",
4489,"ground beef, hamburger",
4490,"biscuit, unspecified",
4490,"egg-in-muffin-style sandwich",
4490,"sausage, pork",
4491,"biscuit, unspecified",
4491,"crab, steamed",
4491,"shrimp, unspecified",
4497,"shrimp salad",
4498,"roast beef, other",
4502,"ham, unspecified",
4504,"vegetable tray",
4506,"ice",
4510,"turkey and stuffing",
4512,"burrito, chicken",
4512,"quesadilla, chicken",
4514,"cake, cheese",
4517,"coleslaw",
4517,"pork, unspecified",
4517,"sandwich, chicken",
4525,"green pea salad",
4534,"cookies, unspecified",
4535,"hot dog, unspecified",
4535,"multiple foods",
4535,"tartar sauce, unspecified",
4537,"macaroni salad",
4537,"shell eggs, boiled hard",
4537,"tuna salad",
4538,"sandwich, other egg/poultry",
4538,"unspecified fruit",
4545,"ethnic style, buffet",
4552,"tuna croissant",
4561,"turkey and stuffing",
4565,"tomato, unspecified",
4566,"oysters, raw",
4567,"stuffing, unspecified",
4570,"roast beef, other",
4581,"chicken, nuggets/fingers","Chicken"
4588,"speciality salads unspecified",
4591,"chicken, other",
4593,"empanadas",
4598,"shrimp coconut",
4603,"ice",
4608,"melon, unspecified",
4611,"soup, gazpacho",
4624,"egg salad/egg salad sandwich",
4624,"tuna salad",
4626,"pizza, meat",
4649,"venison, other",
4653,"salad bar",
4654,"chicken, fried",
4658,"salad bar",
4659,"shrimp salad",
4665,"cheese, unspecified",
4665,"lettuce, unspecified",
4665,"tomato, unspecified",
4671,"sandwich, other specialty",
4675,"lettuce-based salads unspecified",
4683,"beans, unspecified",
4683,"beef, unspecified",
4683,"salsa, unspecified",
4684,"chicken, unspecified",
4684,"multiple foods",
4693,"coleslaw",
4699,"turkey and gravy",
4700,"oysters, raw",
4701,"seafood dish, unspecified",
4706,"potato salad",
4708,"ham, other",
4709,"noodles, unspecified",
4713,"burrito, unspecified",
4716,"green salad",
4718,"burrito, chicken",
4718,"refried beans, unspecified",
4719,"multiple foods",
4720,"chicken, fried",
4722,"melon, unspecified",
4722,"pineapple, unspecified",
4722,"strawberries",
4723,"ethnic style, unspecified",
4727,"turkey, roasted",
4730,"sandwich, deli",
4731,"pancit",
4733,"cake, chocolate",
4740,"pork, BBQ",
4743,"oysters, raw",
4746,"sandwich, beef",
4746,"sandwich, roast beef",
4748,"fish eggs, unspecified",
4759,"pork, chitterlings",
4765,"pork, roasted",
4781,"fish, escolar","Fin fish"
4788,"clam chowder",
4792,"sandwich, submarine",
4794,"green salad",
4794,"vegetable tray",
4795,"multiple salads",
4795,"sandwich, unspecified",
4797,"sandwich, ham",
4799,"lo mein, vegetable",
4801,"steak, prime rib",
4802,"beef, other",
4804,"chicken, marsala",
4808,"caesar salad",
4808,"carrots, unspecified",
4808,"green salad",
4810,"multiple foods","Leafy (eg. lettuce)"
4811,"carrots, unspecified",
4811,"fruit salad",
4813,"poultry, unspecified",
4817,"fish, grouper, unspecified",
4822,"lo mein, chicken",
4824,"other milk, unpasteurized",
4825,"lettuce-based salads unspecified",
4825,"oysters, raw",
4826,"pork, BBQ",
4827,"refried beans, unspecified",
4827,"rice, spanish",
4829,"doughnuts, unspecified",
4829,"taco, beef",
4836,"mung bean sprouts",
4839,"black beans",
4840,"chicken, baked",
4850,"steak, prime rib",
4854,"multiple cheeses, pasteurized",
4855,"vinagarette-based dressing",
4870,"sandwich, turkey club",
4872,"fish, kingfish",
4877,"ice cream, homemade",
4878,"mushrooms, unspecified",
4881,"taco, beef",
4885,"multiple foods",
4886,"sandwich, submarine",
4889,"sandwich, submarine",
4891,"crab dip",
4891,"gravy, beef",
4896,"tarantulas",
4900,"enchilada, beef",
4900,"enchilada, chicken",
4903,"caesar salad",
4903,"seafood salad",
4904,"chef salad","Vine-stalk  eg. tomato"
4906,"sandwich, unspecified",
4907,"multiple foods",
4908,"green salad","Leafy (eg. lettuce)"
4912,"ethnic style, unspecified",
4922,"chicken, unspecified",
4922,"refried beans, unspecified",
4923,"pork, other","Pork"
4927,"salad, unspecified",
4931,"nuts, unspecified","Nuts"
4936,"multiple foods",
4940,"egg-containing food, other",
4943,"green salad",
4955,"sandwich, unspecified",
4956,"ground beef, unspecified",
4958,"tortilla, unspecified",
4959,"pork, BBQ",
4963,"multiple foods",
4965,"chicken, BBQ",
4970,"multiple foods",
4971,"infant formula, unspecified",
4972,"cake, chocolate",
4974,"grape tomato",
4984,"speciality salads unspecified",
4985,"alcohol, unspecified",
4986,"sandwich, submarine",
4987,"sandwich, chicken",
5008,"multiple foods",
5010,"sandwich, submarine",
5017,"steak, prime rib",
5025,"guacamole, unspecified",
5030,"green beans, unspecified",
5032,"macaroni salad",
5032,"potato salad",
5033,"turkey, roasted",
5039,"fish, mahi mahi",
5040,"beef, unspecified",
5040,"rice, white",
5054,"pork, BBQ","Pork"
5059,"butter",
5059,"ice",
5059,"rolls",
5069,"sandwich, deli",
5070,"chicken salad",
5076,"pork, roasted",
5079,"ethnic style, unspecified",
5083,"turkey, roasted",
5084,"seafood newberg",
5086,"chicken, casserole",
5087,"fruit punch, unspecified",
5096,"honeydew melon","Melon"
5096,"other cheese, pasteurized","Cheese"
5096,"potato, fried","Root (eg. potato)"
5098,"fajita, chicken",
5100,"burrito, chicken","Chicken"
5100,"enchilada, chicken","Chicken"
5107,"salad, unspecified",
5119,"chicken fried rice",
5121,"roast beef, other",
5123,"salad bar",
5124,"sandwich, unspecified",
5127,"fettucine alfredo",
5128,"lasagna, unspecified",
5129,"sandwich, other specialty",
5131,"pork, BBQ",
5137,"buffet",
5141,"sandwich, submarine",
5143,"roast beef, other",
5144,"chicken salad",
5145,"beef, other",
5145,"gravy, beef",
5150,"turkey, roasted",
5151,"fried rice, unspecified",
5151,"refried beans, unspecified",
5152,"mesclun mix, unspecified",
5154,"fish, wahanui","Fin fish"
5157,"whole milk, unpasteurized",
5158,"pork, smoked","Pork"
5159,"sandwich, chicken parmesan",
5160,"macaroni salad",
5160,"potato salad",
5165,"ground beef, unspecified",
5165,"refried beans, unspecified",
5166,"pork, roasted",
5171,"ground beef, unspecified",
5171,"marinara sauce",
5173,"refried beans, unspecified",
5174,"cookies, unspecified",
5174,"pasta salad",
5175,"roast beef, other",
5177,"buffet",
5181,"fish, marlin, unspecified",
5185,"other milk, unpasteurized",
5188,"ground beef, hamburger",
5191,"sandwich, submarine",
5192,"sandwich, submarine",
5195,"yellowfin tuna",
5200,"multiple foods",
5201,"ice cream, commercial",
5204,"tuna salad",
5205,"guacamole",
5208,"sandwich, chicken",
5209,"multiple foods",
5211,"cheese and crackers","Cheese"
