"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
512,"antipasta salad",
513,"multiple foods",
517,"multiple foods",
518,"multiple foods",
521,"salad, unspecified",
522,"multiple foods",
523,"multiple foods",
524,"shrimp cocktail",
526,"chicken, roasted",
532,"chicken, BBQ","Chicken"
537,"chicken, milan",
538,"1% milk, unpasteurized",
538,"sauces, unspecified",
539,"burrito, beef",
539,"nachos and cheese",
545,"mixed fruit",
547,"eggs, unspecified",
549,"chicken, unspecified",
549,"gravy, unspecified",
551,"pasta salad",
557,"strawberries",
558,"chicken, unspecified",
562,"sandwich, other specialty",
563,"potato, baked",
563,"steak, prime rib",
564,"dips, unspecified",
566,"mints, unspecified",
567,"lettuce-based salads unspecified","Leafy (eg. lettuce)"
569,"roast beef, unspecified",
570,"burrito, unspecified",
572,"ham, unspecified",
573,"bread, unspecified",
574,"pasta salad",
577,"lasagna, unspecified",
582,"ham, unspecified",
583,"ham, unspecified",
585,"salad, unspecified",
588,"lettuce, unspecified",
589,"turkey, BBQ",
591,"sandwich, turkey",
593,"tuna burger",
594,"coleslaw",
596,"sandwich, submarine",
608,"sandwich, unspecified",
612,"ground beef, sausage",
612,"kidney bean",
612,"shrimp dishes unspecified",
613,"ice cream, unspecified",
616,"pie, merengue","Cream filling"
622,"rolls",
623,"ground beef, unspecified",
624,"ice cream, commercial",
624,"shrimp cocktail",
626,"potato salad",
627,"grapes, red",
628,"sandwich, unspecified",
629,"ice",
629,"sandwich, unspecified",
630,"mixed vegetables, unspecified",
630,"multiple foods",
632,"sandwich, submarine",
634,"pasta salad",
634,"potato skins",
636,"egg rolls",
637,"pork, bacon",
639,"fruit salad",
639,"macaroni salad",
641,"ice",
642,"antipasta salad",
644,"enchilada, chicken",
645,"lettuce-based salads unspecified","Leafy (eg. lettuce)"
646,"cheese, unspecified",
647,"ground beef, meatballs",
651,"broccoli, unspecified",
651,"potato salad",
653,"multiple foods",
654,"green beans, unspecified",
654,"onion, unspecified",
655,"burrito, chicken","Chicken"
655,"enchilada, chicken","Chicken"
657,"pasta salad",
657,"strawberries",
658,"lasagna, beef",
659,"ground beef, unspecified","Beef"
660,"orange juice, unpasteurized",
661,"mango, unspecified","Fruit"
662,"pate, unspecified",
663,"ground beef, hamburger",
664,"ground beef, hamburger","Beef"
665,"alfalfa sprouts",
666,"basil, unspecified",
667,"oysters, unspecified",
668,"cereal, oat","dry cereal"
669,"ground beef, unspecified",
671,"hot dog, unspecified",
672,"tomato, unspecified",
673,"chicken, unspecified",
673,"french fries",
673,"ground beef, hamburger",
674,"ground beef, hamburger",
675,"ethnic style, unspecified",
676,"ham, unspecified",
677,"chicken, unspecified",
677,"egg rolls",
677,"rice, unspecified",
680,"pasta, unspecified",
680,"pizza, unspecified",
684,"pizza, unspecified",
685,"pizza, unspecified",
686,"burrito, unspecified",
686,"taco, unspecified",
689,"alfalfa sprouts",
692,"multiple foods",
693,"chicken, unspecified",
694,"gravy, beef",
694,"roast beef, unspecified",
695,"lettuce, unspecified",
696,"chicken, unspecified",
696,"rice, unspecified",
697,"ham, unspecified",
697,"potato, unspecified",
697,"salad, unspecified",
700,"salad, unspecified",
700,"sandwich, unspecified",
702,"beef, unspecified",
702,"salmon, unspecified",
703,"chicken and stuffing",
706,"fruit salad",
707,"salad, unspecified",
710,"sandwich, submarine",
711,"chicken, cordon bleu",
714,"sandwich, beef",
715,"sandwich, submarine",
716,"pizza, unspecified",
718,"cake, unspecified",
718,"chicken salad",
720,"corn, unspecified",
720,"ground beef, sloppy joe",
722,"ground beef, meatballs",
724,"steak, prime rib",
725,"salsa, unspecified",
726,"roast beef, unspecified",
727,"salad, unspecified",
729,"multiple foods",
731,"pizza, unspecified",
732,"bearnaise sauce",
734,"cabbage, unspecified",
734,"lettuce, unspecified",
735,"cake, unspecified",
735,"ice cream, unspecified",
735,"taco, unspecified",
737,"turkey, unspecified",
739,"rice, white",
740,"deli meat, sliced ham",
760,"chicken, unspecified",
760,"macaroni and cheese",
771,"gravy, beef",
771,"lettuce-based salads unspecified",
772,"lettuce-based salads unspecified",
795,"sandwich, submarine",
821,"stuffing, unspecified",
821,"turkey, unspecified",
825,"chicken, unspecified",
825,"gravy, unspecified",
825,"steak, beef tips",
837,"green salad",
837,"ice",
870,"rigatoni, unspecified",
870,"sauces, unspecified",
872,"chicken salad",
873,"roast beef, unspecified",
874,"asparagus, unspecified",
885,"beef, unspecified",
889,"chick peas",
889,"chicken, unspecified",
894,"ham, unspecified",
896,"shrimp salad",
912,"coleslaw",
917,"other cheese, unspecified",
935,"corned beef, unspecified",
935,"eggs, unspecified",
938,"green beans, unspecified",
940,"multiple foods",
954,"punch, unspecified",
954,"rolls",
960,"chicken salad",
981,"ground beef, meatloaf",
1012,"frosting/icing, whipped cream",
1012,"strudel, unspecified",
1016,"cookies, unspecified",
1016,"crab, unspecified",
1016,"sausage, unspecified",
1018,"macaroni salad",
1018,"potato salad",
1020,"crab soup",
1024,"lettuce-based salads unspecified",
1026,"cake, unspecified",
1028,"pasta salad",
1041,"milkshake",
1041,"nachos, unspecified",
1046,"sandwich, chicken",
1057,"kidney bean",
1061,"pork, unspecified",
1062,"sandwich, beef",
1066,"multiple cheeses, unspecified",
1066,"vegetable tray",
1068,"pasta salad",
1072,"roast beef, unspecified",
1074,"turkey, unspecified","Turkey"
1078,"lasagna, unspecified",
1080,"carrots, unspecified",
1080,"chicken, unspecified",
1080,"potato, mashed",
1082,"yellowfin tuna","Fin fish"
1083,"goat, unspecified",
1084,"manicotti, unspecified",
1088,"shrimp dishes unspecified",
1090,"bread, unspecified",
1090,"sandwich, hoagie",
1090,"stew/chili, unspecified",
1092,"fish, gifilte",
1092,"lettuce, unspecified",
1092,"soup, beef-based",
1093,"cabbage, unspecified",
1094,"rice dishes, unspecified",
1095,"beef, unspecified",
