Geographic Area,"April 1, 2000",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 2010","July 1, 2010"
Juana D√≠az,50539,50608,50868,51073,51249,51386,51442,51356,51184,51020,50863,50747,50679
Juncos,36416,36550,37105,37633,38128,38623,39052,39359,39607,39846,40098,40290,40236
Lajas,26283,26299,26358,26390,26415,26417,26394,26281,26140,25996,25852,25753,25730
Lares,34425,34369,34151,33902,33618,33338,32999,32555,32059,31567,31101,30753,30716
Las Mar√≠as,11060,11040,10974,10893,10811,10720,10609,10462,10304,10147,9994,9881,9874
Las Piedras,34505,34651,35231,35783,36305,36819,37278,37619,37883,38153,38448,38675,38626
Lo√≠za,32537,32509,32436,32311,32152,31973,31757,31442,31046,30679,30328,30060,30020
Luquillo,19817,19836,19968,20055,20128,20211,20233,20216,20180,20129,20090,20068,20042
Manat√≠,45506,45523,45585,45610,45597,45567,45479,45239,44917,44604,44320,44113,44076
Maricao,6439,6444,6456,6463,6471,6467,6461,6428,6390,6340,6298,6276,6272
Maunabo,12741,12746,12743,12731,12713,12697,12659,12583,12490,12390,12288,12225,12216
Mayag-ez,98445,98329,97845,97223,96511,95735,94791,93600,92339,91114,89945,89080,89028
Moca,39698,39757,39984,40179,40331,40469,40559,40511,40384,40277,40179,40109,40050
Morovis,29974,30074,30490,30875,31231,31581,31886,32079,32204,32352,32503,32610,32555
Naguabo,23756,23865,24258,24646,25024,25383,25694,25940,26138,26340,26559,26720,26680
Naranjito,29699,29752,29968,30150,30316,30451,30566,30558,30499,30454,30420,30402,30367
Orocovis,23835,23847,23922,23975,23994,24015,23997,23905,23773,23642,23517,23423,23391
Patillas,20158,20160,20158,20138,20111,20078,19996,19871,19702,19541,19389,19277,19257
Pe√±uelas,26718,26689,26576,26435,26262,26088,25871,25561,25206,24867,24523,24282,24240
Ponce,186479,186166,184896,183499,182003,180411,178443,176058,173449,170742,168186,166327,166164
Quebradillas,25462,25511,25661,25789,25911,26017,26083,26083,26025,25988,25934,25919,25893
RincÆn,14761,14783,14891,14983,15071,15149,15205,15213,15202,15207,15202,15200,15192
R√≠o Grande,52356,52458,52872,53270,53611,53926,54172,54267,54285,54264,54281,54304,54253
Sabana Grande,25902,25914,25958,25978,25988,25987,25959,25836,25677,25528,25376,25265,25241
Salinas,31110,31139,31285,31388,31474,31544,31566,31505,31369,31251,31161,31078,31039
San Germ√°n,37101,37102,37078,37033,36963,36889,36750,36518,36258,35978,35720,35527,35511
