"EFORSCDCID","OtherCounties"
13612,"Johnson"
13612,"Logan"
13612,"Pope"
13620,"Jefferson"
13629,"New York"
13629,"Queens"
13629,"Suffolk"
13637,"Kings"
13652,"Alexandria"
13652,"Fairfax"
13654,"Pottawatomie"
13665,"A·asco"
13665,"Aguada"
13665,"Hormigueros"
13665,"Moca"
13665,"RincÆn"
13681,"Lancaster"
13681,"Chester"
13686,"Howard"
13722,"Cumberland"
13722,"Fayette"
13722,"Adams"
13722,"Chester"
13740,"A·asco"
13740,"Yauco"
13753,"Grand Traverse"
13753,"Marquette"
13757,"DeKalb"
13757,"Newton"
13771,"Sandoval"
13776,"Fairfield"
13816,"Monroe"
13818,"Accomack"
13827,"Loudoun"
13848,"Garrett"
13848,"Montgomery"
13865,"Fort Bend"
13872,"San Bernardino"
13907,"Lexington"
13908,"Johnson"
13938,"Anoka"
13938,"Chisago"
13938,"Clay"
13938,"Dakota"
13938,"Grant"
13938,"Ramsey"
13939,"Washington"
13959,"DeKalb"
13964,"Philadelphia"
13964,"Bucks"
13964,"Delaware"
13968,"Solano"
13971,"Kendall"
13972,"Davidson"
13972,"Franklin"
13972,"Rutherford"
13972,"Sumner"
13972,"Wilson"
13973,"Shelby"
13973,"Franklin"
13973,"Sumner"
13973,"Williamson"
13973,"Hamilton"
13973,"Rutherford"
13973,"Lake"
13974,"Ogle"
13988,"Atoka"
13988,"McIntosh"
13988,"Muskogee"
13988,"Pittsburg"
13990,"Jones"
13990,"Stephens"
13996,"Tolland"
13997,"DeKalb"
14000,"Mobile"
14022,"Sacramento"
14022,"Santa Clara"
14022,"Shasta"
14022,"Siskiyou"
14022,"Solano"
14022,"Yolo"
14063,"Greene"
14068,"Franklin"
14068,"Knox"
14068,"Licking"
14083,"Westchester"
14088,"Fayette"
14088,"Spencer"
14088,"Scott"
14088,"Oldham"
14088,"Henry"
14088,"Jefferson"
14112,"Fairfield"
14112,"Hartford"
14112,"Litchfield"
14112,"Middlesex"
14112,"New London"
14114,"Adams"
14114,"Broomfield"
14114,"Jefferson"
14114,"Arapahoe"
14114,"Denver"
14123,"Henderson"
14123,"McDonough"
14123,"Mercer"
14162,"Ashtabula"
14162,"Erie"
14162,"Sandusky"
14165,"Putnam"
14170,"Bernalillo"
14180,"Pima"
14191,"Fremont"
14191,"Laramie"
14191,"Teton"
14196,"Fairfield"
14196,"New London"
14204,"Clay"
14204,"Shawnee"
14221,"Gove"
14234,"Dale"
14234,"Geneva"
14234,"Henry"
14237,"Hartford"
14237,"Litchfield"
14237,"New London"
14245,"Adams"
14245,"Arapahoe"
14245,"Jefferson"
14245,"Larimer"
14245,"Mesa"
14245,"Weld"
14248,"Highland"
14248,"Butler"
14248,"Montgomery"
14248,"Clinton"
14248,"Hamilton"
14258,"Oakland"
14258,"Washtenaw"
14280,"Delaware"
14280,"Union"
14324,"Nassau"
14349,"Broome"
14349,"Sullivan"
14349,"Tioga"
14356,"Kent"
14356,"Montgomery"
14356,"Harford"
14356,"Anne Arundel"
14356,"Baltimore"
14356,"Frederick"
14363,"New Haven"
14367,"Kane"
14408,"Denver"
14408,"Garfield"
14412,"Saline"
14414,"Marion"
14414,"Meade"
14414,"Sedgwick"
14422,"Los Angeles"
14429,"Charlottesville"
14429,"Nelson"
14452,"Medina"
14459,"Cherokee"
14465,"Schenectady"
14476,"Marion"
14478,"Adams"
14485,"New Castle"
14487,"Litchfield"
14487,"Middlesex"
14491,"Logan"
14518,"Jefferson"
14518,"Tuscaloosa"
14522,"Pierce"
14522,"Thurston"
14532,"Lapeer"
14532,"Macomb"
14532,"Oakland"
14532,"St. Clair"
14532,"Washtenaw"
14534,"Kings"
14534,"Queens"
14534,"Suffolk"
14552,"Clinton"
14558,"Suffolk"
14558,"Chautauqua"
14558,"Dutchess"
14560,"Ashland"
14561,"Albany"
14561,"Converse"
14561,"Laramie"
14561,"Lincoln"
14561,"Natrona"
14561,"Sheridan"
14561,"Teton"
14570,"Denver"
14570,"Jefferson"
14571,"Marinette"
14571,"St. Croix"
14571,"Brown"
14587,"Anne Arundel"
14587,"Howard"
14593,"Suffolk"
14603,"Ward"
14614,"Ward"
14614,"Morton"
14614,"Traill"
14614,"Sheridan"
14614,"Pierce"
14614,"Williams"
14614,"McLean"
14614,"McKenzie"
14614,"Griggs"
14614,"Grand Forks"
14614,"Burleigh"
14614,"Cass"
14614,"Mercer"
14615,"Howard"
14615,"Montgomery"
14615,"Baltimore"
14672,"Hennepin"
14672,"Sherburne"
14672,"Todd"
14672,"Washington"
14681,"Roosevelt"
14682,"Santa Fe"
14686,"Erie"
14686,"Monroe"
14693,"Lincoln"
14693,"St. Louis"
14703,"Okmulgee"
14703,"Osage"
14703,"Ottawa"
14703,"Pawnee"
14703,"Washington"
14703,"Pushmataha"
14703,"Sequoyah"
14703,"Wagoner"
14703,"Oklahoma"
14703,"Cleveland"
14703,"Rogers"
14703,"Canadian"
14703,"Creek"
14703,"Adair"
14703,"Muskogee"
14703,"Cherokee"
14703,"Craig"
14703,"Delaware"
14703,"Le Flore"
14703,"Mayes"
14703,"McClain"
14703,"McIntosh"
14714,"Macomb"
14720,"Stearns"
14720,"Sherburne"
14720,"Ramsey"
14720,"Isanti"
14720,"Nicollet"
14720,"Douglas"
14720,"Brown"
14720,"Mille Lacs"
14726,"Okaloosa"
14726,"Walton"
14726,"Orange"
14726,"Lake"
14726,"Jackson"
14726,"Holmes"
14726,"Hillsborough"
14726,"Gulf"
14726,"Clay"
14726,"Bay"
14726,"Volusia"
14727,"Fairfax"
14737,"Carroll"
14737,"Charles"
14737,"Frederick"
14737,"Harford"
14737,"Howard"
14737,"Montgomery"
14737,"Baltimore"
14742,"Jackson"
14742,"Wyandotte"
14742,"Sedgwick"
14742,"Douglas"
14742,"Clay"
14742,"Shawnee"
14763,"Fauquier"
14763,"Stafford"
14763,"Hampton"
14763,"Arlington"
14763,"Loudoun"
14763,"Fairfax"
14766,"Alameda"
14766,"Kern"
14766,"Riverside"
14766,"Santa Clara"
14766,"Sonoma"
14766,"Stanislaus"
14800,"Cobb"
14800,"Walker"
14800,"Clarke"
14800,"Whitfield"
14810,"Hardeman"
14810,"Madison"
14811,"Walker"
14814,"Butler"
14814,"Westmoreland"
14815,"Frederick"
14862,"Will"
14864,"DuPage"
14872,"Santa Clara"
14873,"San Francisco"
14873,"Santa Clara"
14873,"Alameda"
14873,"Santa Cruz"
14876,"Cayuga"
14876,"Montgomery"
14876,"Oswego"
14876,"Oneida"
14876,"Seneca"
14876,"Niagara"
14876,"Madison"
14876,"Lewis"
14876,"Cortland"
14876,"Broome"
14876,"Erie"
14912,"Matanuska-Susitna"
14912,"Anchorage"
14912,"Kenai Peninsula"
14919,"Suffolk"
14920,"Montgomery"
14924,"Monroe"
14924,"Rockland"
14928,"Cache"
14928,"Davis"
14928,"Salt Lake"
14928,"Weber"
14929,"Salt Lake"
14929,"Utah"
14929,"Cache"
14929,"Davis"
14936,"Pike"
14936,"Wayne"
14936,"Washington"
14936,"Ross"
14936,"Lawrence"
14936,"Jackson"
14936,"Highland"
14936,"Hamilton"
14936,"Gallia"
14936,"Athens"
14936,"Adams"
14936,"Vinton"
14954,"Hillsborough"
14956,"Suffolk"
14959,"Madison"
14959,"Oneida"
14959,"St. Lawrence"
14959,"Otsego"
14959,"Ontario"
14959,"Chenango"
14959,"Jefferson"
14959,"Oswego"
14959,"Franklin"
14959,"Cortland"
14959,"Lewis"
14961,"Albany"
14961,"Cortland"
14961,"Madison"
14961,"Oswego"
14962,"Weld"
14962,"Larimer"
14982,"Bucks"
14982,"Lehigh"
14982,"Philadelphia"
15009,"Laurens"
15020,"Anne Arundel"
15020,"Frederick"
15020,"Howard"
15033,"Imperial"
15038,"Pitt"
15038,"Sampson"
15038,"Onslow"
15038,"Johnston"
15038,"Franklin"
15038,"Burke"
15038,"Nash"
15038,"Wake"
15049,"King"
15051,"Macon"
15063,"Clay"
15063,"Wabash"
15063,"Crawford"
15063,"Richland"
15074,"Hartford"
15074,"Litchfield"
15074,"Middlesex"
15074,"New Haven"
15075,"Berks"
15081,"Caddo"
15081,"Cleveland"
15081,"Comanche"
15081,"Stephens"
15082,"Marshall"
15082,"Talladega"
15084,"Medina"
15105,"Baltimore"
15105,"Baltimore City"
15105,"Frederick"
15105,"Montgomery"
15109,"Cache"
15109,"Salt Lake"
15109,"Utah"
15116,"Grant"
15116,"King"
15116,"Kittitas"
15116,"Pierce"
15116,"Snohomish"
15116,"Spokane"
15116,"Whatcom"
15125,"Union"
15146,"San Diego"
15163,"Lee"
15163,"St. Lucie"
15163,"Sarasota"
15163,"Polk"
15163,"Manatee"
15163,"Citrus"
15163,"Leon"
15163,"Hillsborough"
15163,"DeSoto"
15163,"Indian River"
15163,"Charlotte"
15163,"Brevard"
15163,"Flagler"
15224,"St. Mary's"
15224,"Montgomery"
15225,"Montgomery"
15231,"Arapahoe"
15231,"Weld"
15231,"Broomfield"
15247,"Sevier"
15247,"Union"
15247,"Warren"
15264,"Snohomish"
15267,"Kit Carson"
15267,"Summit"
15267,"Denver"
15267,"Boulder"
15267,"Broomfield"
15267,"Elbert"
15268,"Hamilton"
15294,"Shackelford"
15294,"Taylor"
15294,"Jones"
15307,"Santa Rosa"
15309,"Oswego"
15342,"Santa Cruz"
15358,"Santa Clara"
15361,"Alameda"
15361,"San Mateo"
15414,"Wayne"
15444,"Norfolk"
15464,"Beaver"
15468,"Chesterfield"
15468,"Goochland"
15468,"Henrico"
15468,"New Kent"
15468,"Powhatan"
15468,"Richmond"
15469,"Brunswick"
15469,"Richmond"
15469,"Prince George"
15469,"James City"
15469,"Hopewell"
15469,"Colonial Heights"
15469,"Henrico"
15470,"Alameda"
15470,"Contra Costa"
15470,"Santa Clara"
15470,"Sonoma"
15471,"Yolo"
15471,"San Mateo"
15471,"Sacramento"
15471,"Marin"
15472,"Fresno"
15472,"Placer"
15472,"Sacramento"
15472,"San Francisco"
15472,"Contra Costa"
15473,"Contra Costa"
15473,"Marin"
15473,"San Mateo"
15473,"Solano"
15477,"Burke"
15477,"Union"
15477,"Mecklenburg"
15477,"Lincoln"
15477,"Iredell"
15477,"Caldwell"
15477,"Alexander"
15477,"Catawba"
15490,"Alachua"
15490,"Polk"
15493,"Contra Costa"
15501,"Arapahoe"
15506,"Weld"
15513,"Contra Costa"
15513,"Fresno"
15513,"Los Angeles"
15513,"Orange"
15513,"Placer"
15514,"San Mateo"
15514,"Sonoma"
15514,"Humboldt"
15515,"Riverside"
15515,"Los Angeles"
15519,"Los Angeles"
15519,"Riverside"
15519,"San Bernardino"
15541,"Los Angeles"
15542,"Los Angeles"
15542,"Riverside"
15542,"San Francisco"
15548,"Boulder"
15551,"Charlottesville"
15551,"Hanover"
15629,"Lincoln"
