"EFORSCDCID","OtherCounties"
8655,"Merrimack"
8655,"Strafford"
8784,"Van Buren"
8816,"Lincoln"
8816,"Madison"
8830,"McLean"
8830,"Stutsman"
8836,"Fort Bend"
8836,"Montgomery"
8854,"Burleigh"
8854,"McHenry"
8854,"Rolette"
8915,"Litchfield"
8915,"New Haven"
8952,"Jefferson"
8952,"King"
8968,"Snohomish"
8970,"King"
8970,"Thurston"
9076,"Camden"
9147,"Hartford"
9147,"Fairfield"
9244,"Delaware"
9244,"Marion"
9325,"Black Hawk"
9331,"Oneida"
9331,"Onondaga"
9331,"Wayne"
9429,"Flathead"
9429,"Missoula"
9429,"Ravalli"
9430,"Chouteau"
9430,"Jefferson"
9430,"Liberty"
9550,"Carroll"
9550,"Cuyahoga"
9551,"Limestone"
9559,"Cheshire"
9559,"Merrimack"
9559,"Strafford"
9617,"Knox"
9617,"Morrow"
9686,"Knox"
9686,"Marion"
9686,"Morrow"
9686,"Union"
9691,"DeKalb"
9700,"Cass"
9700,"St. Joseph"
9730,"Eagle"
9730,"Pitkin"
9789,"Broome"
9789,"Montgomery"
9789,"Schenectady"
9797,"Anderson"
9804,"Alameda"
9804,"Santa Clara"
9804,"Stanislaus"
9825,"Monroe"
9825,"Onondaga"
9825,"Oswego"
9855,"Wayne"
9855,"Suffolk"
9855,"Erie"
9855,"Onondaga"
9868,"Franklin"
9901,"Spartanburg"
9905,"Carroll"
9905,"Cuyahoga"
9905,"Erie"
9905,"Lorain"
9905,"Medina"
9905,"Seneca"
9905,"Tuscarawas"
9905,"Wayne"
9910,"Utah"
9910,"Davis"
9917,"Campbell"
9945,"Montgomery"
9945,"Stark"
9945,"Licking"
9963,"Cache"
9963,"Salt Lake"
9963,"Weber"
9989,"Arapahoe"
10020,"Cortland"
10020,"Suffolk"
10020,"Oswego"
10020,"Cayuga"
10020,"Jefferson"
10020,"Madison"
10026,"Fremont"
10026,"Uinta"
10032,"Kalamazoo"
10032,"St. Clair"
10039,"Suffolk"
10044,"Adams"
10044,"Arapahoe"
10044,"Douglas"
10098,"Crowley"
10098,"Fremont"
10098,"Logan"
10107,"Madison"
10112,"DeKalb"
10123,"Duval"
10123,"Hillsborough"
10123,"Miami-Dade"
10123,"Palm Beach"
10123,"Pinellas"
10123,"Sarasota"
10138,"Montgomery"
10138,"Sandusky"
10138,"Wood"
10150,"Geauga"
10150,"Mahoning"
10150,"Cuyahoga"
10154,"McNairy"
10155,"Boulder"
10167,"Litchfield"
10167,"Tolland"
10190,"Coconino"
10190,"Maricopa"
10190,"Mohave"
10194,"Pima"
10232,"Pinal"
10233,"Anne Arundel"
10233,"Baltimore"
10236,"New Haven"
10252,"Wood"
10253,"Oxford"
10253,"Cumberland"
10253,"Franklin"
10266,"Salt Lake"
10269,"DuPage"
10269,"Will"
10281,"Hart"
10281,"Paulding"
10281,"Richmond"
10281,"Muscogee"
10281,"Laurens"
10281,"Hancock"
10281,"Forsyth"
10281,"Fayette"
10281,"Cobb"
10281,"Rockdale"
10281,"DeKalb"
10293,"Missoula"
10293,"Madison"
10293,"Lake"
10293,"Deer Lodge"
10341,"Hendry"
10369,"Allegheny"
10369,"Delaware"
10375,"Hartford"
10375,"New Haven"
10375,"New London"
10385,"Clermont"
10385,"Warren"
10385,"Butler"
10388,"Franklin"
10388,"Hamilton"
10388,"Huron"
10388,"Lorain"
10388,"Stark"
10388,"Summit"
10388,"Erie"
10425,"Frederick"
10425,"Washington"
10425,"Howard"
10425,"Charles"
10425,"Baltimore"
10425,"Anne Arundel"
10425,"St. Mary's"
10442,"Butler"
10442,"Washington"
10447,"Bedford"
10447,"Mifflin"
10455,"Medina"
10455,"Summit"
10455,"Geauga"
10455,"Portage"
10455,"Trumbull"
10455,"Lake"
10455,"Ashtabula"
10455,"Mahoning"
10455,"Lorain"
10461,"El Dorado"
10461,"Fresno"
10462,"Monterey"
10462,"Santa Clara"
10462,"San Diego"
10462,"Alameda"
10462,"San Mateo"
10463,"San Joaquin"
10463,"Alameda"
10463,"Yolo"
10463,"Sonoma"
10463,"Solano"
10463,"Santa Clara"
10463,"San Francisco"
10463,"Sacramento"
10463,"Mendocino"
10463,"Contra Costa"
10463,"Marin"
10464,"Los Angeles"
10464,"San Diego"
10464,"San Bernardino"
10464,"Riverside"
10464,"Orange"
10498,"Baltimore"
10498,"Montgomery"
10529,"Miami-Dade"
10529,"Palm Beach"
10531,"Benton"
10531,"Marion"
10535,"Armstrong"
10535,"Centre"
10535,"Allegheny"
10535,"Montgomery"
10549,"Moniteau"
10554,"Barnstable"
10558,"Brevard"
10558,"Polk"
10560,"Beaver"
10561,"Lycoming"
10561,"Northumberland"
10561,"Snyder"
10561,"Delaware"
10561,"Dauphin"
10561,"Columbia"
10564,"Flagler"
10564,"Seminole"
10564,"Volusia"
10564,"Brevard"
10586,"Grady"
10586,"Tulsa"
10596,"Palm Beach"
10597,"Tulsa"
10597,"Osage"
10603,"Cochise"
10632,"Loudon"
10632,"Monroe"
10632,"Blount"
10646,"Williamson"
10646,"Cumberland"
10646,"Knox"
10646,"Robertson"
10650,"Covington"
10651,"King"
10653,"Monroe"
10663,"Fredericksburg"
10671,"Tazewell"
10671,"DuPage"
10671,"Rock Island"
10674,"Cook"
10703,"Washington"
10706,"Kane"
10716,"York"
10716,"Bucks"
10716,"Chester"
10716,"Columbia"
10738,"Indian River"
10738,"Palm Beach"
10740,"Cook"
10740,"DuPage"
10749,"Carter"
10753,"Washington"
10759,"Will"
10759,"Kane"
10759,"Kendall"
10768,"Jones"
10768,"Pamlico"
10771,"Cass"
10780,"Oktibbeha"
10780,"Quitman"
10780,"Prentiss"
10780,"Pontotoc"
10780,"Pike"
10780,"Madison"
10780,"Perry"
10780,"Pearl River"
10780,"Panola"
10780,"Noxubee"
10780,"Newton"
10780,"Neshoba"
10780,"Montgomery"
10780,"Monroe"
10780,"Rankin"
10780,"Marion"
10780,"Tippah"
10780,"Lowndes"
10780,"Lincoln"
10780,"Marshall"
10780,"Tunica"
10780,"Jackson"
10780,"Yazoo"
10780,"Yalobusha"
10780,"Winston"
10780,"Wilkinson"
10780,"Webster"
10780,"Wayne"
10780,"Warren"
10780,"Tallahatchie"
10780,"Union"
10780,"Scott"
10780,"Tishomingo"
10780,"Leflore"
10780,"Tate"
10780,"Sunflower"
10780,"Stone"
10780,"Smith"
10780,"Simpson"
10780,"Sharkey"
10780,"Walthall"
10780,"Choctaw"
10780,"Franklin"
10780,"Lee"
10780,"DeSoto"
10780,"Covington"
10780,"Copiah"
10780,"Coahoma"
10780,"Clay"
10780,"Greene"
10780,"Claiborne"
10780,"George"
10780,"Chickasaw"
10780,"Carroll"
10780,"Calhoun"
10780,"Bolivar"
10780,"Benton"
10780,"Attala"
10780,"Amite"
10780,"Alcorn"
10780,"Clarke"
10780,"Adams"
10780,"Leake"
10780,"Lawrence"
10780,"Lauderdale"
10780,"Lamar"
10780,"Lafayette"
10780,"Kemper"
10780,"Forrest"
10780,"Jefferson Davis"
10780,"Grenada"
10780,"Jasper"
10780,"Jefferson"
10780,"Itawamba"
10780,"Issaquena"
10780,"Humphreys"
10780,"Holmes"
10780,"Hinds"
10780,"Harrison"
10780,"Hancock"
10780,"Jones"
10787,"Adams"
10787,"Las Animas"
10804,"Cuyahoga"
10818,"Racine"
10830,"Miami-Dade"
10830,"Palm Beach"
10834,"Allegheny"
10840,"Los Angeles"
10840,"San Diego"
10845,"Plymouth"
10855,"Norfolk"
10868,"Worcester"
10881,"Wilson"
10881,"Davidson"
10886,"Allen"
10886,"Putnam"
10887,"Sandusky"
10892,"Medina"
10892,"Portage"
10892,"Stark"
10895,"Lorain"
10895,"Medina"
10895,"Geauga"
10895,"Portage"
10895,"Lake"
10896,"Monroe"
10897,"Bronx"
10897,"Essex"
10899,"Gloucester"
10919,"San Luis Obispo"
10919,"Yuba"
10919,"Ventura"
10919,"Santa Barbara"
10919,"San Diego"
10919,"Fresno"
10919,"Sonoma"
10931,"Los Angeles"
10931,"Riverside"
10932,"San Bernardino"
10940,"Fairfax"
10940,"Shenandoah"
10940,"Frederick"
10940,"Bath"
10940,"Augusta"
10940,"Rockingham"
10941,"Hartford"
10941,"New Haven"
10948,"Colleton"
10951,"Crook"
10951,"Clackamas"
10970,"Ward"
10972,"Madison"
