"EFORSCDCID","OtherStates"
12796,"South Carolina"
12797,"Iowa"
12797,"Minnesota"
12797,"Wisconsin"
12801,"Connecticut"
12801,"Kentucky"
12801,"Maine"
12801,"Maryland"
12801,"Massachusetts"
12801,"New Hampshire"
12801,"New Jersey"
12801,"New York"
12801,"Pennsylvania"
12801,"Vermont"
12804,"Alabama"
12804,"Arkansas"
12804,"Connecticut"
12804,"Georgia"
12804,"Indiana"
12804,"Kentucky"
12804,"Maine"
12804,"Massachusetts"
12804,"Michigan"
12804,"Minnesota"
12804,"Nebraska"
12804,"New Hampshire"
12804,"New York"
12804,"North Carolina"
12804,"Ohio"
12804,"Pennsylvania"
12804,"Rhode Island"
12804,"Tennessee"
12804,"Vermont"
12804,"Virginia"
12804,"Washington"
12804,"Wisconsin"
12805,"Alabama"
12805,"Alaska"
12805,"Arizona"
12805,"Arkansas"
12805,"California"
12805,"Colorado"
12805,"Connecticut"
12805,"Delaware"
12805,"Florida"
12805,"Georgia"
12805,"Idaho"
12805,"Illinois"
12805,"Indiana"
12805,"Iowa"
12805,"Kansas"
12805,"Kentucky"
12805,"Louisiana"
12805,"Maine"
12805,"Maryland"
12805,"Massachusetts"
12805,"Michigan"
12805,"Minnesota"
12805,"Mississippi"
12805,"Missouri"
12805,"Montana"
12805,"Nebraska"
12805,"Nevada"
12805,"New Hampshire"
12805,"New Jersey"
12805,"New Mexico"
12805,"New York"
12805,"North Carolina"
12805,"North Dakota"
12805,"Ohio"
12805,"Oklahoma"
12805,"Oregon"
12805,"Pennsylvania"
12805,"Rhode Island"
12805,"South Carolina"
12805,"South Dakota"
12805,"Tennessee"
12805,"Texas"
12805,"Vermont"
12805,"Virginia"
12805,"Washington"
12805,"West Virginia"
12805,"Wisconsin"
12805,"Wyoming"
12810,"Kansas"
12810,"Missouri"
13913,"Illinois"
13913,"Indiana"
13913,"Kentucky"
13913,"Missouri"
13913,"Nebraska"
13913,"New York"
13913,"Ohio"
13913,"Pennsylvania"
13913,"South Dakota"
13913,"Tennessee"
13913,"Texas"
13913,"Virginia"
13913,"Wisconsin"
13916,"Indiana"
13916,"Ohio"
13916,"Texas"
13917,"Alaska"
13917,"California"
13917,"Washington"
14093,"California"
14093,"Colorado"
14093,"Connecticut"
14093,"Georgia"
14093,"Illinois"
14093,"Indiana"
14093,"Louisiana"
14093,"Maryland"
14093,"Massachusetts"
14093,"Michigan"
14093,"Minnesota"
14093,"New Hampshire"
14093,"New Jersey"
14093,"New York"
14093,"North Carolina"
14093,"Oregon"
14093,"Pennsylvania"
14093,"Tennessee"
14093,"Texas"
14093,"Vermont"
14093,"Virginia"
14093,"Washington"
14093,"Wisconsin"
14096,"Alaska"
14096,"Idaho"
14096,"Oregon"
14096,"Washington"
14097,"Arizona"
14097,"California"
14097,"Idaho"
14097,"Nevada"
14102,"Arizona"
14102,"California"
14102,"Colorado"
14102,"Idaho"
14102,"Utah"
14102,"Wyoming"
14103,"California"
14103,"Georgia"
14103,"Massachusetts"
14103,"New Jersey"
14103,"New York"
14103,"Pennsylvania"
14104,"Connecticut"
14104,"Florida"
14104,"Georgia"
14104,"Indiana"
14104,"Iowa"
14104,"Maine"
14104,"New Jersey"
14104,"New York"
14104,"Ohio"
14104,"Pennsylvania"
14104,"Utah"
14113,"Alaska"
14113,"Arizona"
14113,"Arkansas"
14113,"California"
14113,"Colorado"
14113,"Connecticut"
14113,"Delaware"
14113,"Florida"
14113,"Georgia"
14113,"Idaho"
14113,"Illinois"
14113,"Indiana"
14113,"Iowa"
14113,"Kansas"
14113,"Kentucky"
14113,"Louisiana"
14113,"Maine"
14113,"Massachusetts"
14113,"Michigan"
14113,"Minnesota"
14113,"Missouri"
14113,"Montana"
14113,"Nevada"
14113,"New Jersey"
14113,"New York"
14113,"North Carolina"
14113,"North Dakota"
14113,"Ohio"
14113,"Oklahoma"
14113,"Oregon"
14113,"Pennsylvania"
14113,"South Carolina"
14113,"Tennessee"
14113,"Texas"
14113,"Utah"
14113,"Vermont"
14113,"Virginia"
14113,"Washington"
14113,"West Virginia"
14113,"Wisconsin"
14113,"Wyoming"
14140,"Alaska"
14140,"Florida"
14140,"Georgia"
14140,"Hawaii"
14140,"Illinois"
14140,"Indiana"
14140,"Iowa"
14140,"Kentucky"
14140,"Maryland"
14140,"Massachusetts"
14140,"Michigan"
14140,"Minnesota"
14140,"Missouri"
14140,"New Hampshire"
14140,"New Jersey"
14140,"New York"
14140,"North Carolina"
14140,"Pennsylvania"
14140,"South Carolina"
14140,"Tennessee"
14140,"Virginia"
14175,"Alabama"
14175,"Arizona"
14175,"California"
14175,"Connecticut"
14175,"Georgia"
14175,"Hawaii"
14175,"Maryland"
14175,"Minnesota"
14175,"Missouri"
14175,"New York"
14175,"North Carolina"
14175,"Ohio"
14175,"South Carolina"
14175,"Tennessee"
14175,"Wisconsin"
14184,"Iowa"
14184,"Kentucky"
14184,"Massachusetts"
14184,"Michigan"
14184,"Minnesota"
14184,"Missouri"
14184,"New York"
14184,"North Dakota"
14184,"South Dakota"
14184,"Texas"
14184,"Wisconsin"
14206,"Connecticut"
14206,"Florida"
14206,"Georgia"
14206,"Maryland"
14264,"Georgia"
14264,"Illinois"
14264,"Iowa"
14264,"Massachusetts"
14264,"Michigan"
14264,"Minnesota"
14264,"Missouri"
14264,"New York"
14264,"Ohio"
14264,"South Dakota"
14264,"Wisconsin"
14275,"Connecticut"
14275,"Illinois"
14275,"Michigan"
14275,"New York"
14275,"Rhode Island"
14275,"Vermont"
14275,"Virginia"
14443,"Alabama"
14443,"California"
14443,"Connecticut"
14443,"Delaware"
14443,"Georgia"
14443,"Illinois"
14443,"Maryland"
14443,"Massachusetts"
14443,"Minnesota"
14443,"New Jersey"
14443,"New York"
14443,"North Carolina"
14443,"Ohio"
14443,"Oregon"
14443,"Pennsylvania"
14443,"Rhode Island"
14443,"Tennessee"
14443,"Virginia"
14712,"California"
14712,"Colorado"
14712,"Connecticut"
14712,"Hawaii"
14712,"Michigan"
14712,"Tennessee"
14712,"Texas"
14841,"Arizona"
14841,"California"
14841,"Colorado"
14841,"Minnesota"
14841,"New Mexico"
14841,"Oregon"
14841,"Wisconsin"
15431,"Alabama"
15431,"Florida"
15431,"Georgia"
15431,"Indiana"
15431,"Kentucky"
15431,"Michigan"
15431,"New Jersey"
15431,"New York"
15431,"Ohio"
15431,"Texas"
15431,"Utah"
15431,"West Virginia"
15479,"Oregon"
15479,"Washington"
15530,"Colorado"
15530,"Connecticut"
15530,"Idaho"
15530,"Illinois"
15530,"Massachusetts"
15530,"New Jersey"
15530,"New York"
15530,"Ohio"
15530,"Pennsylvania"
15530,"Virginia"
15531,"California"
15531,"Delaware"
15531,"Michigan"
15531,"Nevada"
15531,"Ohio"
15531,"Pennsylvania"
15539,"Alabama"
15539,"Arizona"
15539,"Arkansas"
15539,"California"
15539,"Colorado"
15539,"Connecticut"
15539,"Florida"
15539,"Georgia"
15539,"Idaho"
15539,"Illinois"
15539,"Indiana"
15539,"Iowa"
15539,"Kansas"
15539,"Kentucky"
15539,"Louisiana"
15539,"Maine"
15539,"Maryland"
15539,"Massachusetts"
15539,"Michigan"
15539,"Minnesota"
15539,"Mississippi"
15539,"Missouri"
15539,"Montana"
15539,"Nevada"
15539,"New Hampshire"
15539,"New Jersey"
15539,"New Mexico"
15539,"New York"
15539,"North Carolina"
15539,"Ohio"
15539,"Oklahoma"
15539,"Oregon"
15539,"Pennsylvania"
15539,"Rhode Island"
15539,"South Carolina"
15539,"Tennessee"
15539,"Texas"
15539,"Utah"
15539,"Vermont"
15539,"Virginia"
15539,"Washington"
15539,"West Virginia"
15539,"Wisconsin"
15539,"Washington DC"
15540,"Alabama"
15540,"Arizona"
15540,"Arkansas"
15540,"California"
15540,"Colorado"
15540,"Connecticut"
15540,"Florida"
15540,"Georgia"
15540,"Hawaii"
15540,"Idaho"
15540,"Illinois"
15540,"Indiana"
15540,"Iowa"
15540,"Kansas"
15540,"Kentucky"
15540,"Louisiana"
15540,"Maine"
15540,"Maryland"
15540,"Massachusetts"
15540,"Michigan"
15540,"Minnesota"
15540,"Mississippi"
15540,"Missouri"
15540,"Montana"
15540,"Nebraska"
15540,"Nevada"
15540,"New Hampshire"
15540,"New Jersey"
15540,"New York"
15540,"North Carolina"
15540,"North Dakota"
15540,"Ohio"
15540,"Oklahoma"
15540,"Oregon"
15540,"Pennsylvania"
15540,"Rhode Island"
15540,"South Dakota"
15540,"Tennessee"
15540,"Texas"
15540,"Utah"
15540,"Vermont"
15540,"Virginia"
15540,"Washington"
15540,"West Virginia"
15540,"Wisconsin"
15540,"Wyoming"
15545,"Maryland"
15545,"North Carolina"
15545,"South Carolina"
15545,"Virginia"
15559,"Georgia"
15559,"Illinois"
15559,"North Carolina"
15559,"Tennessee"
15559,"Wisconsin"
15560,"Colorado"
15560,"Connecticut"
15560,"Florida"
15560,"Illinois"
15560,"Maine"
15560,"Massachusetts"
15560,"Michigan"
15560,"New Jersey"
15560,"New Mexico"
15560,"New York"
15560,"Ohio"
15560,"Rhode Island"
15560,"Virginia"
15562,"Illinois"
15562,"Michigan"
15562,"Ohio"
15563,"Colorado"
15563,"Delaware"
15563,"Illinois"
15563,"Indiana"
15563,"Maine"
15563,"Massachusetts"
15563,"Michigan"
15563,"Minnesota"
15563,"New Hampshire"
15563,"New Jersey"
15563,"New York"
15563,"North Dakota"
15563,"Ohio"
15563,"Pennsylvania"
15563,"Rhode Island"
15563,"Utah"
15563,"Vermont"
15570,"Maine"
15570,"Maryland"
15570,"Michigan"
15570,"New Hampshire"
15570,"Pennsylvania"
15570,"Wisconsin"
15570,"Wyoming"
15571,"Arizona"
15571,"New Hampshire"
15571,"Vermont"
15574,"Arizona"
15574,"California"
15574,"Colorado"
15574,"Georgia"
15574,"Illinois"
15574,"Missouri"
15574,"New Jersey"
15574,"New Mexico"
15574,"New York"
15574,"Ohio"
15574,"Oklahoma"
15574,"Oregon"
15574,"Tennessee"
15574,"Utah"
15574,"Washington"
15574,"Wisconsin"
15575,"Alaska"
15575,"Maryland"
15575,"Mississippi"
15575,"Oregon"
15575,"Utah"
15575,"Washington"
15575,"Wyoming"
15615,"California"
15615,"Maine"
15615,"Maryland"
15615,"Massachusetts"
15615,"New Hampshire"
15615,"New Jersey"
15615,"New York"
15635,"California"
15635,"Idaho"
15635,"Oregon"
15635,"Washington"
